Year,Month,TtlP0
1991,1,16.6
1991,2,23.8
1991,3,9.9
1991,4,4
1991,5,25.1
1991,6,30
1991,7,47.8
1991,8,34.7
1991,9,43
1991,10,23.4
1991,11,40.1
1991,12,30
1992,1,32
1992,2,11.2
1992,3,16
1992,4,46.6
1992,5,28.2
1992,6,32.2
1992,7,44.3
1992,8,47.4
1992,9,56.4
1992,10,39.2
1992,11,31
1992,12,19.4
1993,1,24.9
1993,2,6.8
1993,3,34.4
1993,4,8.8
1993,5,18.4
1993,6,16.8
1993,7,61.9
1993,8,40
1993,9,20.8
1993,10,28.1
1993,11,34.8
1993,12,7
1994,1,24.6
1994,2,4.8
1994,3,15.9
1994,4,7.7
1994,5,37.8
1994,6,53.6
1994,7,36.2
1994,8,8.6
1994,9,21.6
1994,10,27.4
1994,11,27.4
1994,12,3.6
1995,1,5.8
1995,2,12.4
1995,3,4.6
1995,4,0.2
1995,5,16.8
1995,6,31.8
1995,7,84.4
1995,8,78.2
1995,9,10.6
1995,10,22.9
1995,11,15.8
1995,12,22.4
1996,1,12.8
1996,2,16.6
1996,3,9.9
1996,4,16.6
1996,5,0
1996,6,27.9
1996,7,67.2
1996,8,58.2
1996,9,33.6
1996,10,32.8
1996,11,6.2
1996,12,23.4
1997,1,7.6
1997,2,17
1997,3,18.4
1997,4,12.6
1997,5,81.6
1997,6,50.6
1997,7,80.6
1997,8,36
1997,9,29.4
1997,10,30
1997,11,24.7
1997,12,18.2
1998,1,12.6
1998,2,1.8
1998,3,2.8
1998,4,2.4
1998,5,6.4
1998,6,40.6
1998,7,19.4
1998,8,21.4
1998,9,30.6
1998,10,12.1
1998,11,14
1998,12,22.8
1999,1,21.2
1999,2,21
1999,3,8.2
1999,4,12.4
1999,5,19.8
1999,6,63
1999,7,28.2
1999,8,57.2
1999,9,35.2
1999,10,38.4
1999,11,33.9
1999,12,31.8
2000,1,33.2
2000,2,7.4
2000,3,9.6
2000,4,12.4
2000,5,32.6
2000,6,45.7
2000,7,81.2
2000,8,78.6
2000,9,84.4
2000,10,15.6
2000,11,26.4
2000,12,13.8
2001,1,16
2001,2,7
2001,3,5.6
2001,4,12.6
2001,5,12.3
2001,6,47.8
2001,7,99.4
2001,8,36.4
2001,9,23
2001,10,22
2001,11,23.2
2001,12,12.4
2002,1,22.2
2002,2,14.8
