Year,Month,TtlP
1983,12,157.4
1984,1,27.4
1984,2,65.2
1984,3,34.5
1984,4,76.2
1984,5,118.1
1984,6,100.2
1984,7,60.1
1984,8,112.4
1984,9,28.8
1984,10,49
1984,11,87.8
1984,12,101.2
1985,1,61.3
1985,2,64.5
1985,3,109.9
1985,4,64.1
1985,5,41.6
1985,6,95.2
1985,7,67.2
1985,8,78.3
1985,9,71.1
1985,10,84.8
1985,11,74.8
1985,12,58.2
1986,1,105.7
1986,2,39
1986,3,60.6
1986,4,49.4
1986,5,82.4
1986,6,115.8
1986,7,93.6
1986,8,131.6
1986,9,117.4
1986,10,57
1986,11,72.4
1986,12,109
1987,1,60.7
1987,2,33.2
1987,3,66.2
1987,4,36.8
1987,5,55
1987,6,129
1987,7,131
1987,8,54.6
1987,9,108.2
1987,10,56.9
1987,11,115.9
1987,12,53.4
1988,1,26.4
1988,2,74.6
1988,3,26.4
1988,4,78.8
1988,5,50.2
1988,6,72
1988,7,31.2
1988,8,159
1988,9,41.8
1988,10,87.8
1988,11,117.8
1988,12,37.2
1989,1,66
1989,2,30.6
1989,3,75.2
1989,4,52
1989,5,83.2
1989,6,84.6
1989,7,30
1989,8,119.2
1989,9,57.4
1989,10,125
1989,11,175.8
1989,12,43.2
1990,1,81
1990,2,86.6
1990,3,46.4
1990,4,100.1
1990,5,79.2
1990,6,68.8
1990,7,132.4
1990,8,84.4
1990,9,79.2
1990,10,118.8
1990,11,86.9
1990,12,147.8
1991,1,75.6
1991,2,50
1991,3,94.7
1991,4,122.4
1991,5,91.2
1991,6,34.8
1991,7,85.4
1991,8,111.6
1991,9,69.8
1991,10,70.7
1991,11,31.5
1991,12,75.7
1992,1,92.5
1992,2,91
1992,3,73.3
1992,4,41.2
1992,5,56.4
1992,6,76.4
1992,7,137.2
1992,8,70
1992,9,108.2
1992,10,79
1992,11,100.2
1992,12,25.8
1993,1,118.6
1993,2,65.4
1993,3,70
1993,4,151
1993,5,86.7
1993,6,93.4
1993,7,90.2
1993,8,43.6
1993,9,122.6
1993,10,123.2
1993,11,98.2
1993,12,65.8
1994,1,88.8
1994,2,65.4
1994,3,64.4
1994,4,98.6
1994,5,100.4
1994,6,143.8
1994,7,50.6
1994,8,84.6
1994,9,67.2
1994,10,19.8
1994,11,40.2
1994,12,53.6
1995,1,114.1
1995,2,57.2
1995,3,45.8
1995,4,70.2
1995,5,81.5
1995,6,56.6
1995,7,122.1
1995,8,127.4
1995,9,59.6
1995,10,182.7
1995,11,136.7
1995,12,68.2
1996,1,70.4
1996,2,72.2
1996,3,17.9
1996,4,177.8
1996,5,92
1996,6,65.5
1996,7,106
1996,8,22.5
1996,9,115.1
1996,10,74.5
1996,11,163.8
1996,12,89.4
1997,1,120
1997,2,93.8
1997,3,100.3
1997,4,96.9
1997,5,76
1997,6,104.5
1997,7,135
1997,8,106.4
1997,9,91.5
1997,10,49.3
1997,11,90
1997,12,56.6
1998,1,152.5
1998,2,63.8
1998,3,128.5
1998,4,35
1998,5,50.5
1998,6,74.5
1998,7,89.5
1998,8,92.5
1998,9,62
1998,10,62.5
1998,11,35.7
1998,12,55
1999,1,148.1
1999,2,44.3
1999,3,84.1
1999,4,19.5
1999,5,44.2
1999,6,88.5
1999,7,74
1999,8,67
1999,9,194.5
1999,10,88
1999,11,57
1999,12,73.3
2000,1,95.8
2000,2,73
2000,3,69.8
2000,4,112
2000,5,132.5
2000,6,77.5
2000,7,47.5
2000,8,102.5
2000,9,65.5
2000,10,24.7
2000,11,63.6
2000,12,121.4
2001,1,48.4
2001,2,74.2
2001,3,109.8
2001,4,13.7
2001,5,70
2001,6,76
2001,7,33
2001,8,62.5
2001,9,67
2001,10,77.5
2001,11,83.3
2001,12,53.5
2002,1,36.9
2002,2,41.2
2002,3,80.4
2002,4,79.9
2002,5,127.5
2002,6,106
2002,7,55
2002,8,11
2002,9,64.5
2002,10,70
2002,11,105.6
2002,12,33.7
2003,1,22.6
2003,2,62.8
2003,3,88.3
2003,4,76.9
2003,5,110.5
2003,6,70
2003,7,54
2003,8,79
2003,9,104
2003,10,156.4
2003,11,133.8
2003,12,163.6
2004,1,34.2
2004,2,39.6
2004,3,59.2
2004,4,68.8
2004,5,81.8
2004,6,64
2004,7,139.4
2004,8,90
2004,9,71.8
2004,10,36
2004,11,87
2004,12,127.6
2005,1,63.6
2005,2,43.6
2005,3,44
2005,4,158.8
2005,5,43
2005,6,129
2005,7,125.6
2005,8,134
2005,9,113
2005,10,198.2
2005,11,96.2
2005,12,82.7
2006,1,147.8
2006,2,64.5
2006,3,29.4
2006,4,114
2006,5,173.4
2006,6,104.2
2006,7,135.2
2006,8,154.4
2006,9,65.4
2006,10,179.4
2006,11,71.4
2006,12,104
2007,1,79.8
2007,2,27.6
2007,3,75.8
2007,4,139.6
2007,5,63.2
2007,6,60.4
2007,7,106
2007,8,80.4
2007,9,47.8
2007,10,113.6
2007,11,85.6
2007,12,119.8
2008,1,98.8
2008,2,107.2
2008,3,121.6
2008,4,74.8
2008,5,74
2008,6,60.6
2008,7,118.8
2008,8,77.6
2008,9,49.4
2008,10,105
2008,11,72.4
2008,12,151.4
2009,1,67.6
2009,2,85
2009,3,47.6
2009,4,76
2009,5,93.2
2009,6,74.6
2009,7,116.6
2009,8,81
2009,9,44.8
2009,10,112.6
2009,11,55.4
2009,12,120.2
2010,1,68.6
2010,2,49
2010,3,62.8
2010,4,89.4
2010,5,38
2010,6,158
2010,7,96.6
2010,8,139.2
2010,9,157.2
2010,10,117.2
2010,11,96.2
2010,12,121.8
2011,1,31.4
2011,2,89
2011,3,128
2011,4,134.4
2011,5,144.8
2011,6,93.8
2011,7,59.2
2011,8,224.8
2011,9,110.4
2011,10,96.4
2011,11,53.4
2011,12,115.2
2012,1,84.2
2012,2,33.4
2012,3,57.8
2012,4,67
2012,5,91.8
2012,6,73.6
2012,7,94.2
2012,8,48.2
2012,9,103
2012,10,95.8
2012,11,13.6
2012,12,164.8
